tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other
2026-07-20,16:00,192.168.2.195,1,1,1,0,1,1228,1228.0,0,1,0,0
2026-07-20,17:00,192.168.2.139,41,25,3,32,9,13222,322.49,0,40,1,0
2026-07-20,17:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,17:00,192.168.2.191,65,26,6,35,30,22381,344.32,13,46,6,0
2026-07-20,17:00,192.168.2.195,79,28,2,35,44,27675,350.32,6,73,0,0
2026-07-20,18:00,192.168.2.139,33,23,1,23,10,13910,421.52,0,33,0,0
2026-07-20,18:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,18:00,192.168.2.191,57,14,2,11,46,21240,372.63,31,26,0,0
2026-07-20,18:00,192.168.2.195,98,39,4,61,37,46292,472.37,1,95,2,0
2026-07-20,19:00,192.168.2.139,23,13,1,11,12,15846,688.96,0,23,0,0
2026-07-20,19:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,19:00,192.168.2.191,376,66,7,197,179,109180,290.37,114,223,39,0
2026-07-20,19:00,192.168.2.195,65,30,1,50,15,21720,334.15,0,65,0,0
2026-07-20,20:00,192.168.2.139,7,5,1,4,3,3924,560.57,0,7,0,0
2026-07-20,20:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,20:00,192.168.2.191,131,43,6,65,66,41132,313.98,34,79,18,0
2026-07-20,20:00,192.168.2.195,33,15,2,22,11,13810,418.48,1,32,0,0
2026-07-20,21:00,192.168.2.139,15,10,1,7,8,9362,624.13,0,15,0,0
2026-07-20,21:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,21:00,192.168.2.191,96,35,7,56,40,31945,332.76,15,68,13,0
2026-07-20,21:00,192.168.2.195,292,60,2,68,224,140316,480.53,31,261,0,0
2026-07-20,22:00,192.168.2.139,18,5,2,8,10,13072,726.22,0,16,2,0
2026-07-20,22:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,22:00,192.168.2.191,108,40,6,56,52,44486,411.91,19,80,9,0
2026-07-20,22:00,192.168.2.195,458,75,4,165,293,226555,494.66,42,415,1,0
2026-07-20,23:00,192.168.2.139,60,28,3,42,18,23042,384.03,0,56,4,0
2026-07-20,23:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,23:00,192.168.2.191,218,58,1,62,156,138817,636.78,0,218,0,0
2026-07-20,23:00,192.168.2.195,286,67,4,62,224,170809,597.23,1,282,3,0
2026-07-21,00:00,192.168.2.139,8,5,1,4,4,5252,656.5,0,8,0,0
2026-07-21,00:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-21,00:00,192.168.2.191,97,34,2,60,37,37153,383.02,8,89,0,0
2026-07-21,00:00,192.168.2.195,17,8,2,8,9,9346,549.76,2,15,0,0
2026-07-21,01:00,192.168.2.139,2,2,1,0,2,2506,1253.0,0,2,0,0
2026-07-21,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-21,01:00,192.168.2.191,160,47,6,74,86,56340,352.12,36,105,19,0
2026-07-21,01:00,192.168.2.195,25,13,1,17,8,11044,441.76,0,25,0,0
2026-07-21,02:00,192.168.2.139,4,3,3,1,3,1426,356.5,1,2,1,0
2026-07-21,02:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-21,02:00,192.168.2.191,42,18,1,28,14,19374,461.29,0,42,0,0
2026-07-21,02:00,192.168.2.195,9,7,1,9,0,540,60.0,0,9,0,0
2026-07-21,03:00,192.168.2.139,47,23,2,18,29,33529,713.38,0,46,1,0
2026-07-21,03:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-21,03:00,192.168.2.191,29,15,5,15,14,14963,515.97,4,24,1,0
2026-07-21,03:00,192.168.2.195,5,3,1,2,3,3854,770.8,0,5,0,0
2026-07-21,04:00,192.168.2.139,33,21,1,17,16,21268,644.48,0,33,0,0
2026-07-21,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-21,04:00,192.168.2.191,47,14,8,14,33,21531,458.11,11,17,17,2
2026-07-21,04:00,192.168.2.195,165,31,2,44,121,77987,472.65,41,124,0,0
2026-07-21,05:00,192.168.2.139,25,15,1,11,14,17174,686.96,0,25,0,0
2026-07-21,05:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-21,05:00,192.168.2.191,87,25,6,46,41,28519,327.8,22,63,2,0
2026-07-21,05:00,192.168.2.195,191,35,2,36,155,93721,490.69,44,147,0,0
2026-07-21,06:00,192.168.2.101,50,9,5,16,34,4452,89.04,35,13,1,1
2026-07-21,06:00,192.168.2.138,27,18,7,19,8,6050,224.07,4,18,5,0
2026-07-21,06:00,192.168.2.139,32,16,2,14,18,21518,672.44,0,31,1,0
2026-07-21,06:00,192.168.2.161,4,3,4,3,1,244,61.0,2,2,0,0
2026-07-21,06:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-21,06:00,192.168.2.187,11,7,4,9,2,2725,247.73,4,7,0,0
2026-07-21,06:00,192.168.2.191,56,32,4,32,24,21013,375.23,6,46,4,0
2026-07-21,06:00,192.168.2.194,31,17,5,20,11,7947,256.35,5,24,2,0
2026-07-21,06:00,192.168.2.195,103,31,4,25,78,54074,524.99,22,80,1,0
2026-07-21,07:00,192.168.2.101,79,19,5,19,60,18624,235.75,42,35,0,2
2026-07-21,07:00,192.168.2.113,19,9,6,8,11,2194,115.47,9,6,3,1
2026-07-21,07:00,192.168.2.120,58,30,6,33,25,23035,397.16,4,48,6,0
2026-07-21,07:00,192.168.2.138,334,77,8,202,132,84148,251.94,23,293,16,2
2026-07-21,07:00,192.168.2.139,119,38,4,52,67,26769,224.95,50,65,3,1
2026-07-21,07:00,192.168.2.145,95,30,6,57,38,34202,360.02,13,75,7,0
2026-07-21,07:00,192.168.2.148,432,146,8,314,118,117476,271.94,19,398,14,1
2026-07-21,07:00,192.168.2.149,114,61,7,78,36,39159,343.5,3,107,3,1
2026-07-21,07:00,192.168.2.161,119,47,7,64,55,41362,347.58,12,87,20,0
2026-07-21,07:00,192.168.2.164,286,55,5,222,64,85245,298.06,6,277,3,0
2026-07-21,07:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0
2026-07-21,07:00,192.168.2.180,2,1,1,0,2,248,124.0,0,0,2,0
2026-07-21,07:00,192.168.2.187,65,32,7,51,14,21928,337.35,10,49,4,2
2026-07-21,07:00,192.168.2.191,198,61,7,121,77,73117,369.28,23,165,10,0
2026-07-21,07:00,192.168.2.195,16,7,1,13,3,3467,216.69,0,16,0,0
2026-07-21,08:00,192.168.2.101,279,39,3,45,234,60396,216.47,147,132,0,0
2026-07-21,08:00,192.168.2.120,21,10,1,13,8,10756,512.19,0,21,0,0
2026-07-21,08:00,192.168.2.139,589,90,5,170,419,149101,253.14,202,369,6,12
2026-07-21,08:00,192.168.2.145,24,8,2,17,7,7672,319.67,0,17,7,0
2026-07-21,08:00,192.168.2.148,339,96,8,199,140,102799,303.24,25,295,16,3
2026-07-21,08:00,192.168.2.149,217,71,4,152,65,80535,371.13,0,209,5,3
2026-07-21,08:00,192.168.2.150,25,12,4,13,12,3128,125.12,10,10,5,0
2026-07-21,08:00,192.168.2.161,105,40,3,48,57,47718,454.46,16,83,6,0
2026-07-21,08:00,192.168.2.164,413,58,5,196,217,168555,408.12,10,398,5,0
2026-07-21,08:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0
2026-07-21,08:00,192.168.2.180,2,1,2,0,2,2456,1228.0,0,0,0,2
2026-07-21,08:00,192.168.2.187,32,16,5,23,9,14381,449.41,5,25,1,1
2026-07-21,08:00,192.168.2.191,109,31,2,29,80,75013,688.19,3,106,0,0
2026-07-21,08:00,192.168.2.195,13,11,1,7,6,7988,614.46,0,13,0,0
2026-07-21,09:00,192.168.2.101,337,30,4,34,303,54130,160.62,182,154,1,0
2026-07-21,09:00,192.168.2.120,4,2,1,1,3,3744,936.0,0,4,0,0
2026-07-21,09:00,192.168.2.135,4,3,3,4,0,240,60.0,0,3,1,0
2026-07-21,09:00,192.168.2.139,661,78,8,156,505,151791,229.64,382,256,23,0
2026-07-21,09:00,192.168.2.145,41,18,2,22,19,23155,564.76,0,36,5,0
2026-07-21,09:00,192.168.2.148,465,83,6,200,265,141579,304.47,5,444,14,2
2026-07-21,09:00,192.168.2.149,172,74,5,123,49,64753,376.47,0,168,3,1
2026-07-21,09:00,192.168.2.150,1,1,1,1,0,64,64.0,0,0,1,0
2026-07-21,09:00,192.168.2.161,206,47,4,78,128,66287,321.78,34,153,19,0
2026-07-21,09:00,192.168.2.164,246,58,3,113,133,81718,332.19,0,238,8,0
2026-07-21,09:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-21,09:00,192.168.2.191,190,49,6,30,160,144910,762.68,9,169,12,0
2026-07-21,09:00,192.168.2.195,2,2,1,0,2,2506,1253.0,0,2,0,0
2026-07-21,10:00,192.168.2.101,52,13,3,9,43,8395,161.44,33,17,0,2
2026-07-21,10:00,192.168.2.120,29,16,2,20,9,11250,387.93,0,28,1,0
2026-07-21,10:00,192.168.2.139,342,41,5,71,271,90433,264.42,179,152,11,0
2026-07-21,10:00,192.168.2.145,8,4,2,4,4,5202,650.25,0,6,2,0
2026-07-21,10:00,192.168.2.148,377,63,7,166,211,117043,310.46,3,364,7,3
2026-07-21,10:00,192.168.2.149,1,1,1,1,0,60,60.0,0,1,0,0
2026-07-21,10:00,192.168.2.150,86,25,5,77,9,9674,112.49,7,55,24,0
2026-07-21,10:00,192.168.2.161,15,11,1,8,7,7234,482.27,0,15,0,0
2026-07-21,10:00,192.168.2.164,408,59,3,204,204,152182,373.0,0,393,15,0
2026-07-21,10:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-21,10:00,192.168.2.166,322,69,4,256,66,18573,57.68,56,257,9,0
2026-07-21,10:00,192.168.2.167,721,114,6,480,241,209394,290.42,81,436,204,0
2026-07-21,10:00,192.168.2.191,62,36,6,30,32,27580,444.84,9,45,8,0
2026-07-21,10:00,192.168.2.195,13,9,1,11,2,3166,243.54,0,13,0,0
2026-07-21,11:00,192.168.2.101,314,41,4,38,276,59926,190.85,134,176,4,0
2026-07-21,11:00,192.168.2.113,23,6,3,15,8,3504,152.35,8,8,7,0
2026-07-21,11:00,192.168.2.120,2,1,1,0,2,2456,1228.0,0,2,0,0
2026-07-21,11:00,192.168.2.139,390,54,5,135,255,88307,226.43,178,179,33,0
2026-07-21,11:00,192.168.2.145,30,16,2,19,11,12902,430.07,0,28,2,0
2026-07-21,11:00,192.168.2.146,22,12,2,13,9,11188,508.55,0,21,1,0
2026-07-21,11:00,192.168.2.147,26,19,7,18,8,10000,384.62,2,20,4,0
2026-07-21,11:00,192.168.2.148,380,83,7,267,113,141625,372.7,4,362,3,11
2026-07-21,11:00,192.168.2.149,97,51,7,74,23,22354,230.45,7,86,4,0
2026-07-21,11:00,192.168.2.164,259,56,3,145,114,80398,310.42,0,252,7,0
2026-07-21,11:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0
2026-07-21,11:00,192.168.2.166,296,74,4,233,63,18392,62.14,53,235,8,0
2026-07-21,11:00,192.168.2.167,428,65,5,214,214,202030,472.03,50,338,40,0
2026-07-21,11:00,192.168.2.180,1,1,1,0,1,1228,1228.0,0,0,0,1
2026-07-21,11:00,192.168.2.191,32,19,6,14,18,17204,537.62,1,25,6,0
2026-07-21,11:00,192.168.2.195,3,2,1,1,2,2566,855.33,0,3,0,0
2026-07-21,12:00,192.168.2.101,206,24,4,26,180,38278,185.82,78,126,2,0
2026-07-21,12:00,192.168.2.120,7,3,1,2,5,6260,894.29,0,7,0,0
2026-07-21,12:00,192.168.2.139,247,46,6,91,156,55166,223.34,120,115,10,2
