tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-20,04:00,192.168.2.139,13,10,1,5,8,10424,801.85,0,13,0,0,0.0,1.0,0.0,0.0,0.7692,0.40582310979361114,0
2026-07-20,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,04:00,192.168.2.191,1226,95,100,12,1214,148118,120.81,44,90,906,186,0.0359,0.0734,0.739,0.1517,0.0775,0.7333778090105143,1
2026-07-20,04:00,192.168.2.195,3,2,1,1,2,2566,855.33,0,3,0,0,0.0,1.0,0.0,0.0,0.6667,0.38794378642112115,0
2026-07-20,05:00,192.168.2.139,35,18,2,12,23,21529,615.11,0,31,4,0,0.0,0.8857,0.1143,0.0,0.5143,0.3835303544678934,0
2026-07-20,05:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4139540177851261,0
2026-07-20,05:00,192.168.2.191,520,67,40,38,482,70238,135.07,15,83,365,57,0.0288,0.1596,0.7019,0.1096,0.1288,0.6452829456239968,1
2026-07-20,05:00,192.168.2.195,20,14,3,15,5,3620,181.0,1,17,2,0,0.05,0.85,0.1,0.0,0.7,0.40738352529565053,0
2026-07-20,06:00,192.168.2.139,25,15,1,16,9,12362,494.48,0,25,0,0,0.0,1.0,0.0,0.0,0.6,0.373235404661317,0
2026-07-20,06:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,06:00,192.168.2.184,20,9,4,8,12,5996,299.8,4,16,0,0,0.2,0.8,0.0,0.0,0.45,0.38542735571982517,0
2026-07-20,06:00,192.168.2.191,61,27,2,36,25,23966,392.89,8,53,0,0,0.1311,0.8689,0.0,0.0,0.4426,0.3761915340131696,0
2026-07-20,06:00,192.168.2.195,3,2,1,1,2,2566,855.33,0,3,0,0,0.0,1.0,0.0,0.0,0.6667,0.38794378642112115,0
2026-07-20,07:00,192.168.2.101,248,28,4,32,216,46187,186.24,143,103,2,0,0.5766,0.4153,0.0081,0.0,0.1129,0.4657573411002695,0
2026-07-20,07:00,192.168.2.107,548,100,5,450,98,133035,242.76,9,534,5,0,0.0164,0.9745,0.0091,0.0,0.1825,0.5121501285475627,0
2026-07-20,07:00,192.168.2.112,74,38,6,46,28,32417,438.07,4,67,2,1,0.0541,0.9054,0.027,0.0135,0.5135,0.4012753466809029,0
2026-07-20,07:00,192.168.2.113,49,17,6,36,13,6214,126.82,9,28,9,3,0.1837,0.5714,0.1837,0.0612,0.3469,0.4303282277952607,0
2026-07-20,07:00,192.168.2.139,25,16,4,14,11,9972,398.88,3,20,2,0,0.12,0.8,0.08,0.0,0.64,0.39729060438603486,0
2026-07-20,07:00,192.168.2.144,129,47,8,49,80,55228,428.12,32,88,9,0,0.2481,0.6822,0.0698,0.0,0.3643,0.4111402110414084,0
2026-07-20,07:00,192.168.2.156,266,71,6,208,58,18827,70.78,42,111,113,0,0.1579,0.4173,0.4248,0.0,0.2669,0.4955184583329348,0
2026-07-20,07:00,192.168.2.158,66,26,6,30,36,33951,514.41,9,50,7,0,0.1364,0.7576,0.1061,0.0,0.3939,0.38166177371063154,0
2026-07-20,07:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
