tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,total_data,average_datasize,jumlah_koneksi_deviation,jumlah_tujuan_unik_deviation,jumlah_port_unik_deviation,total_data_deviation,baseline_confidence,anomaly_score,anomaly_label
2026-07-20,04:00,192.168.2.158,16,13,2,0.0,0.9375,0.0625,0.0,0.8125,9386,586.63,-0.6205314987184676,-0.42155672467287203,-0.6744907594765952,-0.6462144821250576,established,-0.298144,Normal
2026-07-20,04:00,192.168.2.162,270,107,13,0.0,0.9,0.0481,0.0519,0.3963,84668,313.59,1.0495902124508243,2.135887405009218,2.2932685822204237,1.2775792595178133,established,-0.258907,Normal
2026-07-20,04:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-20,04:00,192.168.2.191,174,51,7,0.1092,0.8506,0.0402,0.0,0.2931,92007,528.78,0.7068663159314718,0.8560844254895248,0.6744907594765952,1.556280471763619,established,-0.325282,Normal
2026-07-20,04:00,192.168.2.195,1,1,1,0.0,1.0,0.0,0.0,1.0,1278,1278.0,-0.7194568101083683,-0.843113449345744,-0.6744907594765952,-0.7537412701686089,established,-0.272298,Normal
2026-07-20,05:00,192.168.2.101,28,8,2,0.6071,0.3929,0.0,0.0,0.2857,1985,70.89,-1.1803588290840417,-1.0791852151625523,-1.3489815189531904,-1.3093501240841183,established,-0.200148,Normal
2026-07-20,05:00,192.168.2.113,44,12,3,0.1136,0.5,0.3864,0.0,0.2727,4874,110.77,-0.5701052847956936,0.13489815189531904,-0.6744907594765952,-0.37738583449728735,established,-0.259775,Normal
2026-07-20,05:00,192.168.2.139,386,69,6,0.3705,0.5959,0.0285,0.0052,0.1788,88961,230.47,4.232098882990401,2.1791239921551537,0.6744907594765952,2.2278514509707827,established,-0.244243,Normal
2026-07-20,05:00,192.168.2.154,137,28,7,0.1095,0.2774,0.6131,0.0,0.2044,79554,580.69,1.1972210980709566,0.429221392394197,1.011736139214893,3.2130078525407195,established,-0.184436,Normal
2026-07-20,05:00,192.168.2.158,8,6,2,0.0,0.875,0.125,0.0,0.75,6420,802.5,-0.6924771797293044,-0.6576284904896803,-0.6744907594765952,-0.7041339839376686,established,-0.295025,Normal
2026-07-20,05:00,192.168.2.163,45,7,4,0.5333,0.4444,0.0222,0.0,0.1556,11733,260.73,-1.2915136963968885,-1.4369585745370943,0.0,-1.2516000360202848,established,-0.224979,Normal
2026-07-20,05:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-20,05:00,192.168.2.180,2,1,1,0.0,0.0,1.0,0.0,0.5,311,155.5,-0.3372453797382976,0.0,0.0,-0.5458802333052105,established,-0.168737,Normal
2026-07-20,05:00,192.168.2.187,43,25,6,0.1628,0.7442,0.0465,0.0465,0.5814,16349,380.21,-0.13489815189531904,0.26979630379063807,0.6744907594765952,0.0,established,-0.278987,Normal
2026-07-20,05:00,192.168.2.191,253,72,7,0.0356,0.9209,0.0435,0.0,0.2846,148100,585.38,1.5594226359098882,1.9456464215671017,0.6744907594765952,3.27348052492693,established,-0.29783,Normal
2026-07-20,05:00,192.168.2.195,1,1,1,0.0,1.0,0.0,0.0,1.0,1278,1278.0,-0.7194568101083683,-0.843113449345744,-0.6744907594765952,-0.7537412701686089,established,-0.272298,Normal
2026-07-20,05:00,192.168.2.197,193,59,6,0.0155,0.9534,0.0311,0.0,0.3057,61651,319.44,1.9542937389962887,2.782274382840955,2.023472278429786,1.123618060847024,established,-0.282511,Normal
2026-07-20,06:00,192.168.2.113,62,15,4,0.1935,0.4194,0.3871,0.0,0.2419,8124,131.03,-0.28103781644858133,0.5395926075812761,0.0,0.010012763770616596,established,-0.258304,Normal
2026-07-20,06:00,192.168.2.139,143,49,4,0.2517,0.7133,0.035,0.0,0.3427,29163,203.94,1.0183487937195652,1.1414459006526996,0.0,0.08109828750572859,established,-0.310415,Normal
2026-07-20,06:00,192.168.2.150,21,10,4,0.1905,0.381,0.4286,0.0,0.4762,1324,63.05,-0.8596450856074253,-0.7971254430177944,0.0,-0.7186282134121645,established,-0.231606,Normal
